form	lemma	POS	morph
Ci	ci	ADVgen	DEGRE=-
conmence	comencier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=n
monsigneur	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
seint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
Nicholas	Nicolas	NOMpro	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
beneoit	benëoit	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
confessor	confessëor	NOMcom	NOMB.=s|GENRE=m|CAS=r
nostre	nostre	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
Signeur	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
Jesu	Jhesu	NOMpro	NOMB.=s|GENRE=m|CAS=n
Crist	crist	NOMpro	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Mout	mout	ADVgen	DEGRE=-
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
volentiers	volentiers	ADVgen	DEGRE=s
oïr	öir	VERinf	NOMB.=x|GENRE=x|CAS=x
et	et	CONcoo	MORPH=empty
entendre	entendre	VERinf	NOMB.=x|GENRE=x|CAS=x
tote	tot	DETind	NOMB.=s|GENRE=f|CAS=r
creature	crïature	NOMcom	NOMB.=s|GENRE=f|CAS=r
qi	que2	PROrel	NOMB.=s|GENRE=f|CAS=n
nostre	nostre	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
Signour	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
aime	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
croit	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r
vies	vie1	NOMcom	NOMB.=p|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r
oevres	uevre	NOMcom	NOMB.=p|GENRE=f|CAS=r
des	de+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
seinz	saint	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
raisson	raison	NOMcom	NOMB.=s|GENRE=f|CAS=n
et	et	CONcoo	MORPH=empty
droiture	droiture	NOMcom	NOMB.=s|GENRE=f|CAS=n
qe	que4	CONsub	MORPH=empty
qi	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
biens	bien2	NOMcom	NOMB.=p|GENRE=m|CAS=r
q'	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
i	i2	PROadv	MORPH=empty
prenge	prendre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
example	essemple	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Por	por2	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
voel	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
conter	conter	VERinf	NOMB.=x|GENRE=x|CAS=x
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
monsigneur	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
Nicholas	Nicolas	NOMpro	NOMB.=s|GENRE=m|CAS=r
cui	que2	PROrel	NOMB.=s|GENRE=m|CAS=i
clerc	clerc	NOMcom	NOMB.=s|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
chevalier	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
puceles	pucele	NOMcom	NOMB.=p|GENRE=f|CAS=n
reclaiment	reclamer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
a	a3	PRE	MORPH=empty
lor	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=r
besoignes	besoigne	NOMcom	NOMB.=p|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
qe	que4	CONsub	MORPH=empty
aucun	aucun	PROind	NOMB.=s|GENRE=m|CAS=r
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
retiegnent	retenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n
qi	que2	PROrel	NOMB.=p|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
orront	öir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
conter	conter	VERinf	NOMB.=x|GENRE=x|CAS=x
et	et	CONcoo	MORPH=empty
dire	dire	VERinf	NOMB.=x|GENRE=x|CAS=x
,	,	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nus	nul	PROind	NOMB.=s|GENRE=m|CAS=n
trop	trop	ADVgen	DEGRE=-
savoir	savoir	VERinf	NOMB.=x|GENRE=x|CAS=x
si	si	ADVgen	DEGRE=-
com	come1	CONsub	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f|CAS=n
Escritures	escriture	NOMcom	NOMB.=p|GENRE=f|CAS=n
recontent	reconter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
et	et	CONcoo	MORPH=empty
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
mal	mal2	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
seit	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nus	nul	PROind	NOMB.=s|GENRE=m|CAS=n
si	si	ADVgen	DEGRE=-
petit	petit	ADVgen	DEGRE=c
que	que4	CONsub	MORPH=empty
trop	trop	ADVgen	DEGRE=-
n'	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Messires	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
seinz	saint	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
Nicholas	Nicolas	NOMpro	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nez	naistre	VERppe	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
haute	haut	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
lignie	ligniee	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
cité	cité	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
Patre	Patara	NOMpro	NOMB.=s|GENRE=f|CAS=r
qi	que2	PROrel	NOMB.=s|GENRE=f|CAS=n
ça	ça	ADVgen	DEGRE=-
en	en1	PRE	MORPH=empty
arriere	ariere	ADVgen	DEGRE=-
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vile	vile	NOMcom	NOMB.=s|GENRE=f|CAS=n
de	de	PRE	MORPH=empty
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
renomee	renomee	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
pueplee	popler2	VERppe	NOMB.=s|GENRE=f|CAS=n
de	de	PRE	MORPH=empty
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
pueple	pueple	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
mes	mais1	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
pechiez	pechié	NOMcom	NOMB.=p|GENRE=m|CAS=r
des	de+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r
