form	lemma	POS	morph
chdouai0120			
Sacent	savoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
tout	tot	DETind	NOMB.=p|GENRE=m|CAS=n
cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n
ki	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
et	et	CONcoo	MORPH=empty
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
a	a3	PRE	MORPH=empty
-	-	PONfbl	MORPH=empty
venir	venir	VERinf	MORPH=empty
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
ke	que4	CONsub	MORPH=empty
Jehans	Jean	NOMpro	NOMB.=s|GENRE=m|CAS=n
dou	de+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
Trau	Trau	NOMpro	NOMB.=s|GENRE=x|CAS=r
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
couniscance	conoissance	NOMcom	NOMB.=s|GENRE=f|CAS=r
a	a3	PRE	MORPH=empty
-	-	PONfbl	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
au	a3+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
sien	suen	PROpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
a	a3	PRE	MORPH=empty
Jehan	Jean	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
fil	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=r
Huon	Hues	NOMpro	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
Borsier	Borsier	NOMpro	NOMB.=s|GENRE=x|CAS=r
,	,	PONfbl	MORPH=empty
de	de	PRE	MORPH=empty
.LII.	52	DETcar	NOMB.=p|GENRE=x|CAS=r
lib	livre3	NOMcom	NOMB.=p|GENRE=f|CAS=r
