form	lemma	POS	morph
Ci	ci	ADVgen	DEGRE=-
comence	comencier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
seconz	secont1	ADJord	NOMB.=s|GENRE=m|CAS=n
livres	livre2	NOMcom	NOMB.=s|GENRE=m|CAS=n
qi	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
devise	deviser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
coment	coment1	ADVsub	MORPH=empty
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
qi	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
veaut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
plaidoier	plaidoiier	VERinf	MORPH=empty
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
metre	metre2	VERinf	MORPH=empty
avant	avant	ADVgen	DEGRE=p
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
demande	demande	NOMcom	NOMB.=s|GENRE=f|CAS=r
par	par	PRE	MORPH=empty
devant	devant	PRE	MORPH=empty
lo	le	DETdef	NOMB.=s|GENRE=m|CAS=r
juge	juge	NOMcom	NOMB.=s|GENRE=m|CAS=r
par	par	PRE	MORPH=empty
escrit	escrit	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Ci	ci	ADVgen	DEGRE=-
comence	comencier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
secont	secont1	ADJord	NOMB.=s|GENRE=m|CAS=n
livre	livre2	NOMcom	NOMB.=s|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
parler	parler	VERinf	MORPH=empty
des	de+le	PRE.DETdef	MORPH=empty+NOMB.=p|GENRE=m|CAS=r
jugemenz	jugement	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
traité	traitier	VERppe	NOMB.=s|GENRE=m|CAS=r
en	en1	PRE	MORPH=empty
prumier	premier	ADJord	NOMB.=s|GENRE=m|CAS=r
livre	livre2	NOMcom	NOMB.=s|GENRE=m|CAS=r
des	de+le	PRE.DETdef	MORPH=empty+NOMB.=p|GENRE=m|CAS=r
juges	juge	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
mes	mais1	CONcoo	MORPH=empty
pource	por2+ce1	PRE.PROdem	MORPH=empty+NOMB.=s|GENRE=n|CAS=r
que	que4	CONsub	MORPH=empty
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
jugement	jugement	NOMcom	NOMB.=p|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
ordené	ordener	VERppe	NOMB.=p|GENRE=m|CAS=n
si	si	ADVgen	DEGRE=-
que	que4	CONsub	MORPH=empty
celui	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
demande	demander	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aucune	aucun	DETind	NOMB.=s|GENRE=f|CAS=r
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mestre	metre2	VERinf	MORPH=empty
avant	avant	ADVgen	DEGRE=p
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
demande	demande	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
apelee	apeler	VERppe	NOMB.=s|GENRE=f|CAS=n
accion	accion	NOMcom	NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
pour	por2	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
trete	traitier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=n
emperere	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
avant	avant	ADVgen	DEGRE=p
coment	coment1	ADVsub	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
demandeor	demandëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
metre	metre2	VERinf	MORPH=empty
avant	avant	ADVgen	DEGRE=p
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
accion	accion	NOMcom	NOMB.=s|GENRE=f|CAS=r
;	;	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
pource	por2+ce1	PRE.PROdem	MORPH=empty+NOMB.=s|GENRE=n|CAS=r
que	que4	CONsub	MORPH=empty
en	en1	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
sen	sen2	NOMcom	NOMB.=s|GENRE=m|CAS=r
vienent	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
prueves	prueve	NOMcom	NOMB.=p|GENRE=f|CAS=n
que	que2	PROrel	NOMB.=p|GENRE=f|CAS=r
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=n
en	on	PROind	NOMB.=s|GENRE=m|CAS=n
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aucunes	aucun	DETind	NOMB.=p|GENRE=f|CAS=r
foiz	foiz	NOMcom	NOMB.=p|GENRE=f|CAS=r
par	par	PRE	MORPH=empty
chartres	chartre2	NOMcom	NOMB.=p|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
aucunes	aucun	DETind	NOMB.=p|GENRE=f|CAS=r
foiz	foiz	NOMcom	NOMB.=p|GENRE=f|CAS=r
par	par	PRE	MORPH=empty
livres	livre2	NOMcom	NOMB.=p|GENRE=m|CAS=r
où	où	PROrel	MORPH=empty
ces	ce2	DETdem	NOMB.=p|GENRE=m|CAS=n
changeeurs	changëor	NOMcom	NOMB.=p|GENRE=m|CAS=n
escrivent	escrire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
leur	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
aferes	afaire2	NOMcom	NOMB.=p|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
apelé	apeler	VERppe	NOMB.=p|GENRE=m|CAS=n
raisons	raison	NOMcom	NOMB.=p|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
pour	por2	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
si	si	ADVgen	DEGRE=-
parole	parler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
desouz	desoz	PRE	MORPH=empty
ce	ce2	DETdem	NOMB.=s|GENRE=m|CAS=r
titre	title	NOMcom	NOMB.=s|GENRE=m|CAS=r
comment	coment1	ADVsub	MORPH=empty
ces	ce2	DETdem	NOMB.=p|GENRE=f|CAS=n
chartres	chartre2	NOMcom	NOMB.=p|GENRE=f|CAS=n
et	et	CONcoo	MORPH=empty
ces	ce2	DETdem	NOMB.=p|GENRE=f|CAS=n
raisons	raison	NOMcom	NOMB.=p|GENRE=f|CAS=n
doivent	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
estre	estre1	VERinf	MORPH=empty
mis	metre2	VERppe	NOMB.=p|GENRE=m|CAS=n
avant	avant	ADVgen	DEGRE=p
en	en1	PRE	MORPH=empty
jugement	jugement	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
De	de	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
si	si	ADVgen	DEGRE=-
avint	avenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tel	tel	DETind	NOMB.=s|GENRE=m|CAS=n
quas	cas1	NOMcom	NOMB.=s|GENRE=m|CAS=n
:	:	PONfbl	MORPH=empty
uns	un	DETndf	NOMB.=s|GENRE=m|CAS=n
huem	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
demandoit	demander	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r
fame	feme	NOMcom	NOMB.=s|GENRE=f|CAS=r
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r
some	some3	NOMcom	NOMB.=s|GENRE=f|CAS=r
d'	de	PRE	MORPH=empty
avoir	avoir	NOMcom	NOMB.=s|GENRE=m|CAS=r
que	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
disoit	dire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
qu'	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
li	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=i
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
baillié	baillier	VERppe	NOMB.=s|GENRE=m|CAS=r
à	a3	PRE	MORPH=empty
garder	garder	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n
fame	feme	NOMcom	NOMB.=s|GENRE=f|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r
nioit	noiier2	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
pource	por2+ce1	PRE.PROdem	MORPH=empty+NOMB.=s|GENRE=n|CAS=r
